id,x,y
1,120.649045,31.41566741
1,120.6490324,31.4156426
1,120.6490198,31.4156178
1,120.6490072,31.415593
1,120.6489946,31.4155682
1,120.648982,31.41554339
1,120.6489694,31.41551859
1,120.6489568,31.41549379
1,120.6489442,31.41546898
1,120.6489315,31.41544418
1,120.6489189,31.41541937
1,120.6489063,31.41539457
1,120.6488937,31.41536976
2,120.6490645,31.41563068
2,120.6490519,31.41560587
2,120.6490393,31.41558106
2,120.6490267,31.41555626
2,120.6490141,31.41553145
2,120.6490015,31.41550665
2,120.6489889,31.41548184
2,120.6489763,31.41545704
2,120.6489637,31.41543223
2,120.6489511,31.41540743
2,120.6489385,31.41538262
2,120.6489259,31.41535782
3,120.6489074,31.41539646
3,120.6488948,31.41537165
3,120.6488822,31.41534684
3,120.6488697,31.41532202
3,120.6488571,31.41529721
3,120.6488445,31.41527241
3,120.6488319,31.41524759
3,120.6488193,31.41522276
3,120.6488068,31.41519794
3,120.6487942,31.41517313
3,120.6487817,31.41514831
3,120.6487691,31.41512349
3,120.6487565,31.41509869
3,120.6487439,31.41507388
3,120.6487312,31.41504909
3,120.6487187,31.41502427
3,120.6487061,31.41499946
3,120.6486936,31.41497463
3,120.648681,31.41494979
3,120.6486685,31.41492498
3,120.6486559,31.41490016
3,120.6486433,31.41487534
3,120.6486309,31.41485049
3,120.6486184,31.41482564
3,120.6486057,31.41480085
3,120.6485933,31.414776
3,120.6485807,31.4147512
3,120.6485682,31.41472633
3,120.6485558,31.41470148
3,120.6485432,31.41467665
3,120.6485307,31.4146518
3,120.6485182,31.41462698
3,120.6485056,31.41460216
3,120.6484931,31.41457733
3,120.6484805,31.41455253
3,120.6484681,31.41452763
4,120.6489389,31.41538463
4,120.6489265,31.41535976
4,120.648914,31.41533492
4,120.6489015,31.41531008
4,120.6488889,31.41528528
4,120.6488762,31.41526049
4,120.6488637,31.41523568
4,120.6488511,31.41521085
4,120.6488385,31.41518603
4,120.648826,31.41516121
4,120.6488135,31.41513638
4,120.6488009,31.41511157
4,120.6487883,31.41508675
4,120.6487757,31.41506195
4,120.6487631,31.41503713
4,120.6487505,31.41501232
4,120.648738,31.4149875
4,120.6487254,31.41496271
4,120.6487128,31.41493789
4,120.6487003,31.41491304
4,120.6486878,31.4148882
4,120.6486752,31.41486339
4,120.6486628,31.4148385
4,120.6486502,31.41481372
4,120.6486377,31.41478888
4,120.6486251,31.41476406
4,120.6486124,31.4147393
4,120.6485997,31.41471452
4,120.6485872,31.41468969
4,120.6485748,31.41466482
4,120.6485622,31.41464002
4,120.6485496,31.4146152
4,120.6485374,31.41459025
4,120.6485251,31.41456532
4,120.648513,31.41454036
4,120.6485003,31.41451556
5,120.6483216,31.41445585
5,120.6482961,31.41447179
5,120.6482704,31.41448737
5,120.6482442,31.41450246
5,120.6482178,31.4145173
5,120.6481913,31.41453192
5,120.6481647,31.4145463
5,120.6481379,31.41456046
5,120.6481112,31.41457479
5,120.6480841,31.4145888
5,120.6480575,31.41460311
5,120.6480307,31.41461697
5,120.6480036,31.41463087
5,120.6479765,31.41464461
5,120.6479494,31.41465835
5,120.6479224,31.4146724
5,120.6478954,31.41468641
5,120.6478683,31.41470037
5,120.6478414,31.4147145
5,120.6478142,31.4147282
5,120.6477875,31.4147425
5,120.6477603,31.41475619
5,120.6477333,31.41477024
5,120.6477064,31.4147843
5,120.6476793,31.41479814
5,120.6476525,31.41481237
5,120.6476254,31.4148263
5,120.6475984,31.41484036
5,120.6475715,31.41485432
5,120.6475439,31.41486875
5,120.6475178,31.41488229
5,120.6474884,31.41489755
5,120.6474638,31.41491044
5,120.647436,31.41492494
5,120.6474097,31.41493863
5,120.6473828,31.41495281
5,120.6473559,31.41496689
